cost_bps,months,cagr,cumulative_return,ir,sharpe,alpha_annual,alpha_t,beta,beta_se,max_drawdown,hit_rate,mean_traded_nav,mean_gross,min_net,max_net,max_weight,missing_positions,mean_missing_gross,max_missing_gross,model
20,68,0.05586607223175233,0.3607658410152592,-0.11813478517970609,0.2499694796113008,0.03220905083951233,0.5714557028275032,-0.04785077186021319,0.11727376997025037,-0.198276228539493,0.4264705882352941,1.2811025902670412,2.0,-0.28511593578057437,0.22364074961985136,0.022851159357805746,55,0.013594909997893895,0.058735642798018746,gbm_missing
30,68,0.039754478743422306,0.247214636096315,-0.25927708578150516,0.10795394455560235,0.016744403258663686,0.2961637689287522,-0.04727761090196202,0.11715840318248753,-0.24311887484539751,0.39705882352941174,1.2819629578406921,2.0,-0.28511593578057437,0.22364074961985136,0.022851159357805746,55,0.013594909997893895,0.058735642798018746,gbm_missing
50,68,0.008134531147117485,0.046979344796258315,-0.5398912468139471,-0.17456879218756435,-0.01424952435685832,-0.25031706733427417,-0.04612744628843203,0.11693837077136134,-0.32576879149863336,0.3382352941176471,1.2837217055387296,2.0,-0.28511593578057437,0.22364074961985136,0.022851159357805746,55,0.013594909997893895,0.058735642798018746,gbm_missing
0,68,-0.016299947033278306,-0.08892260706756483,-1.221966208687453,-0.6579394549245088,-0.04295817259315968,-1.3484292661191135,-0.03510456071152232,0.04988188681412148,-0.20251199378951312,0.35294117647058826,1.2583590957840705,2.0,-0.1499638873058976,0.19294479491281635,0.02146301909968347,40,0.009840801475459024,0.06045796938747673,gbm_median
10,68,-0.03107940994664138,-0.16382011717493183,-1.4366318027768157,-0.8719824560333977,-0.05818280862989622,-1.8261037718511774,-0.03403124938892443,0.04996028868650784,-0.21940006215854713,0.3235294117647059,1.2592874093601178,2.0,-0.1499638873058976,0.19294479491281635,0.02146301909968347,40,0.009840801475459024,0.06045796938747673,gbm_median
20,68,-0.04568032699709357,-0.23275870740333715,-1.6508563883818959,-1.0860057734563793,-0.07343018574673049,-2.301056529336283,-0.032956989787927764,0.05008244885482003,-0.2785787095268827,0.3088235294117647,1.2602307876286993,2.0,-0.1499638873058976,0.19294479491281635,0.02146301909968347,40,0.009840801475459024,0.06045796938747673,gbm_median
30,68,-0.0601046720123809,-0.29619807881261584,-1.8641548845967537,-1.299528425714056,-0.08870072138823892,-2.771253348529561,-0.031882082113721386,0.05024851262406063,-0.3334314735247319,0.3088235294117647,1.2611866409810717,2.0,-0.1499638873058976,0.19294479491281635,0.02146301909968347,40,0.009840801475459024,0.06045796938747673,gbm_median
50,68,-0.08843132798301656,-0.40824779602065153,-2.2860536505215308,-1.7231534493430807,-0.1193129833051344,-3.689634982492663,-0.02973045480177996,0.050712098400184945,-0.43136075310981925,0.25,1.2631346495203575,2.0,-0.1499638873058976,0.19294479491281635,0.02146301909968347,40,0.009840801475459024,0.06045796938747673,gbm_median
0,68,0.0538629051594639,0.3462012902514757,-0.16301418117479974,0.2508878497136473,0.02123870259477765,0.5830255672325918,0.02851811957814039,0.09623974369719253,-0.1257049465604997,0.4264705882352941,1.2048118752837407,2.0,-0.19472549957352236,0.18802418519930963,0.021947254995735223,36,0.009323057528352581,0.060856299360316224,gbm_median_matched
10,68,0.03877157288476529,0.24054822500869033,-0.31248925965451896,0.10111249298068001,0.006743060738228151,0.18559955172294493,0.028786117015161934,0.09613661292625417,-0.13476743344646946,0.39705882352941174,1.2056149931198203,2.0,-0.19472549957352236,0.18802418519930963,0.021947254995735223,36,0.009323057528352581,0.060856299360316224,gbm_median_matched
20,68,0.02385619956477636,0.14293306730928723,-0.461829498595951,-0.048634404470863944,-0.007772176621496844,-0.21434359927509727,0.029055213230804674,0.09604300050859067,-0.15963470413674263,0.38235294117647056,1.2064266443853005,2.0,-0.19472549957352236,0.18802418519930963,0.021947254995735223,36,0.009323057528352581,0.060856299360316224,gbm_median_matched
30,68,0.009114981290622826,0.05276241392000314,-0.610922217823599,-0.19823982353509162,-0.022307297389140345,-0.61594886702499,0.02932538473302398,0.09595899778991844,-0.1892426326383132,0.36764705882352944,1.2072463618207854,2.0,-0.19472549957352236,0.18802418519930963,0.021947254995735223,36,0.009323057528352581,0.060856299360316224,gbm_median_matched
50,68,-0.019852638187379257,-0.10741182980793251,-0.9079222367418005,-0.49658133422184614,-0.051438904610528996,-1.420616967588778,0.029869082849650497,0.09582024919492815,-0.2546172986054669,0.35294117647058826,1.208919000258729,2.0,-0.19472549957352236,0.18802418519930963,0.021947254995735223,36,0.009323057528352581,0.060856299360316224,gbm_median_matched
0,68,0.11146925441252686,0.82005943762212,0.32805544130782666,0.6498020913069202,0.08583921012453981,1.3211074544361074,-0.047933659435123364,0.12662512151988217,-0.14916736988631762,0.5588235294117647,1.1111394852603453,2.0,-0.30000000000000027,0.30000000000000027,0.022925838300708015,60,0.01550760404841274,0.061100842792838714,annual_blend
10,68,0.09681607931680314,0.6882039625131102,0.22025415268558268,0.5412885221402067,0.0723992215979461,1.108974720117386,-0.04699741452671008,0.12695341424796308,-0.17076525131401232,0.5441176470588235,1.111771323222108,2.0,-0.30000000000000027,0.30000000000000027,0.022925838300708015,60,0.01550760404841274,0.061100842792838714,annual_blend
20,68,0.08232216790955826,0.5656228006992319,0.11279729366171852,0.4330973658587751,0.058943696122465236,0.8985117636977137,-0.04605943144679187,0.12728726180855435,-0.19187526370800534,0.5147058823529411,1.1124110585664384,2.0,-0.30000000000000027,0.30000000000000027,0.022925838300708015,60,0.01550760404841274,0.061100842792838714,annual_blend
30,68,0.06798593001178643,0.45168150387675765,0.005705678273563141,0.3252497431767773,0.0454723697734502,0.6897578633507755,-0.045119690918609345,0.1276266537217959,-0.21250745058026577,0.5,1.1130580686829061,2.0,-0.30000000000000027,0.30000000000000027,0.022925838300708015,60,0.01550760404841274,0.061100842792838714,annual_blend
50,68,0.03977972971863997,0.24738628491981807,-0.2073041781528385,0.11066419006474217,0.01848084758173569,0.2775180703521956,-0.04323546002920167,0.1283219420620095,-0.252377824871049,0.4264705882352941,1.1143818200305207,2.0,-0.30000000000000027,0.30000000000000027,0.022925838300708015,60,0.01550760404841274,0.061100842792838714,annual_blend
