target_month,permno,ticker,company_name,weight,raw_forward,model
2025-03,18895,CFB,CROSSFIRST BANKSHARES INC,-0.009931084068775338,,gbm_median
2025-04,17034,,,0.018036991718679143,,gbm_median
2025-05,78034,,,0.019634760275549383,,gbm_median
2025-05,22086,,,0.01675240907762452,,gbm_median
2025-05,90716,,,0.019634760275549383,,gbm_median
2025-06,91080,HEES,H & E EQUIPMENT SERVICES INC,0.01715385163631235,,gbm_median
2025-06,57817,,,-0.019932231509620243,,gbm_median
2025-09,85020,PPBI,PACIFIC PREMIER BANCORP INC,0.009375373009050465,,gbm_median
2025-10,81593,COOP,MR COOPER GROUP INC,0.00629548473236076,,gbm_median
2025-12,21120,,,-0.020167413186301043,,gbm_median
2025-12,89397,,,-0.020167413186301043,,gbm_median
2026-01,86827,,,0.015087531435067247,,gbm_median
2026-07,15397,,,0.006503502664235223,,gbm_median
2026-07,92502,,,0.018586664992721137,,gbm_median
2026-07,16660,,,-0.01991144958158807,,gbm_median
2021-02,14634,,,-0.010096308566224031,,gbm_median_matched
2021-06,31077,,,0.020018565808071754,,gbm_median_matched
2021-10,59774,LDL,LYDALL INC,-0.01968538452530022,,gbm_median_matched
2021-12,15220,,,0.019483803963394157,,gbm_median_matched
2022-03,76722,STFC,STATE AUTO FINANCIAL CORP,-0.019339119399739996,,gbm_median_matched
2022-04,17859,VNE,VEONEER INC,0.02085629936031622,,gbm_median_matched
2022-04,16158,,,0.02085629936031622,,gbm_median_matched
2022-04,89445,,,-0.01914370063968378,,gbm_median_matched
2022-05,12758,ECOL,U S ECOLOGY INC NEW,-0.017380122899861385,,gbm_median_matched
2022-06,88905,,,-0.018195336888478995,,gbm_median_matched
2022-07,15507,SRRA,SIERRA ONCOLOGY INC,-0.018873620253490573,,gbm_median_matched
2022-07,19856,,,-0.018873620253490573,,gbm_median_matched
2022-08,11343,,,0.018824230110122995,,gbm_median_matched
2022-09,17037,,,-0.019325361278276745,,gbm_median_matched
2022-10,82686,,,-0.018043266241249363,,gbm_median_matched
2023-03,90734,,,-0.019797760986554468,,gbm_median_matched
2023-04,18736,,,-0.006008422975346175,,gbm_median_matched
2023-07,85187,,,-0.01672527813114645,,gbm_median_matched
2023-10,16068,,,-0.01721741906584106,,gbm_median_matched
2023-12,92257,,,0.014483639565309464,,gbm_median_matched
2023-12,86544,,,-0.020105361079313797,,gbm_median_matched
2024-04,91363,,,0.017409023015237328,,gbm_median_matched
2024-06,90194,,,0.012522235695121004,,gbm_median_matched
2024-09,11587,,,-0.021122403123190726,,gbm_median_matched
2024-11,16827,,,-0.021947254995735223,,gbm_median_matched
2024-12,93369,,,0.01887333407408245,,gbm_median_matched
2024-12,20834,LBPH,LONGBOARD PHARMACEUTICALS INC,-0.021126665925917557,,gbm_median_matched
2025-02,39693,,,-0.018892176222795612,,gbm_median_matched
2025-06,91080,HEES,H & E EQUIPMENT SERVICES INC,0.018872560118890967,,gbm_median_matched
2025-12,89397,,,-0.018761341252810235,,gbm_median_matched
2026-01,18772,,,0.01724171596377133,,gbm_median_matched
2026-02,21297,,,0.019080462043076986,,gbm_median_matched
2026-03,92597,,,0.01991053337498364,,gbm_median_matched
2026-07,15397,,,0.006224142576585939,,gbm_median_matched
2026-08,21096,,,0.012059441282796308,,gbm_median_matched
2026-08,91606,,,0.016591700911451714,,gbm_median_matched
2021-01,12914,,,0.016095136450066643,,annual_blend
2021-01,17334,,,0.012276865902868658,,annual_blend
2021-02,16579,,,0.01491528900492491,,annual_blend
2021-03,14244,,,0.014556543389410448,,annual_blend
2021-04,19567,PAND,PANDION THERAPEUTICS INC,-0.021415895669162705,,annual_blend
2021-05,91900,,,0.016521871513614304,,annual_blend
2021-05,93393,,,-0.02051685542868577,,annual_blend
2021-08,83111,,,0.0143856568344698,,annual_blend
2022-01,19199,,,0.017,,annual_blend
2022-02,92506,GTS,TRIPLE S MANAGEMENT CORP,0.020168633833436915,,annual_blend
2022-03,43837,,,0.017719910947773358,,annual_blend
2022-03,76201,,,0.004651862981717592,,annual_blend
2022-03,76722,STFC,STATE AUTO FINANCIAL CORP,-0.020237730185253485,,annual_blend
2022-04,89445,,,0.020042002272606135,,annual_blend
